区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,海运仓小区 ,2室1厅,64.45,730,113267,,东西,精装,有电梯,中楼层(共8层)2002年建板楼,,-
东城,和平新城一期 ,2室1厅,122.76,1200,97752,,西北,精装,有电梯,低楼层(共19层)2003年建板塔结合,,-
东城,和平新城一期 ,2室1厅,122.76,1200,97752,房本满五年,西北,精装,有电梯,低楼层(共19层)2003年建板塔结合,,-
东城,海晟名苑 ,2室1厅,94.6,1250,132136,房本满五年,西,精装,有电梯,中楼层(共22层)2003年建板塔结合,,-
东城,海运仓小区 ,2室1厅,64.45,730,113267,房本满五年,东西,精装,有电梯,中楼层(共8层)2002年建板楼,,-
东城,国瑞城中区 ,1室1厅,58.77,618,105156,房本满五年,南,简装,有电梯,低楼层(共16层)2006年建板塔结合,,-
东城,琉璃寺胡同 ,3室1厅,68.54,640,93377,房本满五年,南北,精装,无电梯,低楼层(共6层)1998年建板楼,,-
东城,阳照胡同 ,2室1厅,60.06,630,104896,房本满五年,南北,简装,无电梯,中楼层(共6层)1990年建板楼,,-
东城,东皇城根北街40号院 ,2室1厅,55.68,680,122127,房本满五年,东西,其他,无电梯,中楼层(共6层)板楼,,-
东城,豆瓣胡同 ,3室1厅,86.2,1180,136891,房本满五年,南北,简装,有电梯,低楼层(共12层)2003年建板楼,,-
东城,仓南胡同14号院 ,2室1厅,70.6,839,118839,房本满五年,南北,其他,无电梯,中楼层(共6层)1994年建板楼,,-
东城,仓南胡同14号院 ,3室1厅,83.51,999,119627,房本满五年,南北,精装,无电梯,顶层(共6层)1993年建板楼,,-
东城,新景家园东区 ,1室1厅,56.88,600,105486,房本满五年,南,简装,有电梯,中楼层(共17层)2004年建板塔结合,,-
东城,小黄庄一区 ,3室1厅,98.51,880,89332,房本满五年,东西,精装,有电梯,低楼层(共21层)1990年建板塔结合,,-
东城,新怡家园 ,3室2厅,164,2200,134147,房本满五年,南北,精装,有电梯,低楼层(共13层)2006年建板楼,,-
东城,天天家园 ,2室1厅,100.82,750,74391,房本满五年,西,简装,有电梯,低楼层(共11层)2002年建板塔结合,,-
东城,新景家园东区 ,3室2厅,90.77,930,102457,房本满五年,东西,简装,有电梯,中楼层(共17层)2005年建板塔结合,,-
东城,交道口东大街 ,3室1厅,100.88,1500,148692,房本满五年,南北,精装,有电梯,中楼层(共12层)2003年建板塔结合,,-
东城,海晟名苑 ,3室1厅,147.26,2050,139210,房本满五年,西南,精装,有电梯,低楼层(共22层)2003年建板塔结合,,-
东城,安贞苑50号院 ,2室1厅,88.95,885,99495,房本满五年,南北,精装,无电梯,中楼层(共6层)2000年建板楼,,-
东城,国瑞城中区 ,3室1厅,69.47,720,103642,房本满五年,东,精装,有电梯,高楼层(共16层)2006年建板塔结合,,-
东城,本家润园三期 ,1室1厅,47.86,450,94025,房本满五年,北,简装,有电梯,高楼层(共18层)2005年建塔楼,,-
东城,民安小区东直门内北小街 ,2室1厅,77.21,799,103485,房本满五年,西,精装,有电梯,低楼层(共16层)2003年建板楼,,-
东城,金桥国际 ,1室1厅,63.35,570,89977,房本满五年,南,精装,有电梯,低楼层(共27层)2004年建塔楼,,-
东城,丽水湾畔家园 ,3室2厅,139.91,1255,89701,房本满五年,南北,精装,有电梯,低楼层(共21层)2002年建塔楼,,-
东城,青年湖东里 ,3室1厅,67,630,94030,房本满五年,东西,简装,无电梯,中楼层(共5层)1988年建板楼,,-
东城,安定路 ,2室1厅,61.72,560,90733,房本满五年,东南南北,精装,有电梯,底层(共20层)1993年建塔楼,,-
东城,国瑞城中区 ,1室1厅,51.85,550,106076,,东,精装,有电梯,中楼层(共16层)2006年建板塔结合,,-
东城,永合馨苑 ,2室1厅,117.93,710,60206,,南北,简装,有电梯,低楼层(共11层)2001年建板塔结合,,-
东城,新景家园东区 ,1室1厅,60.77,600,98733,,南,简装,有电梯,低楼层(共12层)2004年建板塔结合,,-
东城,永定门东街东里 ,3室1厅,65.57,500,76255,,东西,精装,无电梯,中楼层(共5层)1977年建板楼,,-
东城,龙潭西里 ,2室1厅,69.03,570,82573,,南北,精装,无电梯,高楼层(共6层)1980年建板楼,,-
东城,富贵园三区 ,3室1厅,95.95,930,96926,房本满五年,西南,精装,有电梯,中楼层(共18层)2002年建塔楼,,-
东城,东厂胡同 ,3室1厅,95.8,995,103863,房本满五年,南西,简装,无电梯,中楼层(共5层)1987年建板楼,,-
东城,龙潭西里 ,2室1厅,69.03,570,82573,房本满五年,南北,精装,无电梯,高楼层(共6层)1980年建板楼,,-
东城,花市东三条 ,2室1厅,51.02,459,89965,房本满五年,东西,简装,无电梯,中楼层(共6层)1980年建板楼,,-
东城,胡家园小区 ,3室1厅,75.31,640,84983,房本满五年,东北,精装,有电梯,中楼层(共17层)1991年建塔楼,,-
东城,海运仓南里一区 ,2室1厅,78.14,750,95982,房本满五年,东西,精装,无电梯,底层(共6层)1998年建板楼,,-
东城,国瑞城中区 ,2室1厅,83.06,750,90297,房本满五年,西南,精装,有电梯,中楼层(共16层)2006年建板塔结合,,-
东城,国瑞城中区 ,3室1厅,96.26,1050,109080,房本满五年,东南,精装,有电梯,中楼层(共16层)2006年建板塔结合,,-
东城,西营房 ,2室1厅,85.12,800,93985,房本满五年,东,其他,有电梯,低楼层(共19层)2006年建塔楼,,-
东城,青年湖南街 ,3室1厅,78.97,947,119919,房本满五年,南西,精装,有电梯,低楼层(共14层)1996年建板塔结合,,-
东城,新景家园东区 ,2室1厅,85.27,890,104375,房本满五年,东西,精装,有电梯,中楼层(共17层)2004年建板楼,,-
东城,西革新里110号院 ,1室1厅,41.6,299,71875,房本满五年,南,简装,无电梯,中楼层(共6层)1993年建板楼,,-
东城,水上华城 ,3室2厅,165.81,1720,103734,房本满五年,南北,精装,有电梯,中楼层(共23层)2005年建板塔结合,,-
东城,东交民巷21号院 ,2室0厅,49.38,650,131633,房本满五年,东南,简装,无电梯,中楼层(共5层)1980年建板楼,,-
东城,富贵园二区 ,2室1厅,69.45,650,93593,房本满五年,东南,精装,有电梯,顶层(共18层)2003年建塔楼,,-
东城,京城仁合 ,2室1厅,83.62,840,100455,房本满五年,东,精装,有电梯,中楼层(共16层)2004年建板塔结合,,-
东城,冠城名敦道 ,3室1厅,179.31,1900,105962,房本满五年,南北,其他,有电梯,低楼层(共27层)2009年建板楼,,-
东城,水上华城 ,1室1厅,66.57,680,102149,房本满五年,南西,精装,有电梯,中楼层(共20层)2004年建板塔结合,,-
东城,悠胜美苑 ,3室2厅,70.17,816,116290,房本满五年,东北,精装,有电梯,中楼层(共20层)2003年建板塔结合,,-
东城,中海紫御公馆 ,3室2厅,207.38,2480,119588,房本满五年,南北,精装,有电梯,中楼层(共21层)2010年建板塔结合,,-
东城,青年湖南街 ,1室1厅,52.09,625,119985,房本满五年,南北,简装,有电梯,低楼层(共14层)1996年建板塔结合,,-
东城,东直门内大街 ,2室1厅,80.44,800,99454,房本满五年,南西,精装,有电梯,高楼层(共16层)2002年建塔楼,,-
东城,六铺炕 ,2室1厅,54.38,625,114932,房本满五年,东西,简装,无电梯,顶层(共6层)1980年建板楼,,-
东城,北官厅胡同2号院 ,2室1厅,53.6,630,117538,,南北,简装,无,底层(共6层)1990年建板楼,,-
东城,东环居苑 ,2室1厅,84.02,800,95216,,西南,精装,有电梯,中楼层(共18层)2004年建塔楼,,-
东城,仓南胡同 ,2室1厅,67.65,955,141168,,南北,简装,无电梯,中楼层(共6层)2003年建板楼,,-
东城,安化北里 ,2室1厅,68.62,650,94725,,东南,简装,有电梯,高楼层(共17层)1980年建塔楼,,-
东城,天天家园 ,2室1厅,112.12,825,73582,,东北,简装,有电梯,低楼层(共11层)2002年建板塔结合,,-
东城,花市枣苑三期 ,2室1厅,94.07,960,102052,,西北,精装,有电梯,底层(共17层)2005年建塔楼,,-
东城,安定路 ,3室1厅,80.25,785,97820,房本满五年,东西北,简装,有电梯,高楼层(共20层)1995年建塔楼,,-
东城,建国门北大街5号 ,5室2厅,228.71,1290,56404,房本满五年,西,简装,有电梯,低楼层(共24层)2008年建塔楼,,-
东城,天天家园 ,1室1厅,66.55,495,74381,房本满五年,西北,简装,有电梯,低楼层(共11层)2002年建板塔结合,,-
东城,管村26号院 ,2室1厅,65.8,350,53192,房本满五年,南北,简装,无电梯,地下室(共6层)1997年建板楼,,-
东城,朝阳门内大街 ,3室1厅,86.1,795,92335,房本满五年,南北,精装,无电梯,中楼层(共5层)1988年建板楼,,-
东城,六铺炕 ,2室1厅,58.28,630,108099,房本满五年,西北,精装,有电梯,底层(共16层)1992年建塔楼,,-
东城,交道口东大街 ,1室1厅,66.41,925,139287,房本满五年,南,简装,有电梯,高楼层(共10层)2003年建板塔结合,,-
东城,李村南里 ,2室1厅,65.48,491,74985,房本满五年,南北,简装,无电梯,低楼层(共6层)1990年建板楼,,-
东城,国祥胡同4号院 ,3室1厅,68.62,810,118042,房本满五年,南北,简装,无电梯,中楼层(共5层)1988年建板楼,,-
